n,seconds
1,0.000
2,0.056
3,0.096
4,0.121
5,0.130
6,0.157
7,0.213
8,0.266
9,0.308
10,0.315
11,0.331
12,0.360
13,0.375
14,0.401
15,0.406
16,0.420
17,0.426
18,0.431
19,0.435
20,0.440
21,0.455
22,0.480
23,0.496
24,0.547
25,0.547
26,0.583
27,0.589
28,0.609
29,0.653
30,0.682
31,0.688
32,0.705
33,0.734
34,0.740
35,0.755
36,0.781
37,0.787
38,0.802
39,0.807
40,0.812
41,0.817
42,0.822
43,0.837
44,0.863
45,0.878
46,0.904
47,0.923
48,0.930
49,0.948
50,0.999
51,1.027
52,1.033
53,1.048
54,1.076
55,1.082
56,1.097
57,1.124
58,1.139
59,1.144
60,1.149
61,1.154
62,1.159
63,1.173
64,1.198
65,1.204
66,1.218
67,1.223
68,1.228
69,1.233
70,1.238
71,1.256
72,1.299
73,1.328
74,1.369
75,1.395
76,1.433
77,1.442
78,1.453
79,1.477
80,1.520
81,1.545
82,1.586
83,1.609
84,1.659
85,1.670
86,1.691
87,1.723
88,1.740
89,1.769
90,1.785
91,1.810
92,1.815
93,1.820
94,1.826
95,1.831
96,1.836
97,1.841
98,1.856
99,1.894
100,1.921
101,1.938
102,1.966
103,1.983
104,2.011
105,2.031
106,2.063
107,2.087
108,2.140
109,2.171
110,2.217
111,2.246
112,2.257
113,2.268
114,2.274
115,2.281
116,2.287
117,2.295
118,2.302
119,2.309
120,2.316
121,2.323
122,2.330
123,2.336
124,2.343
125,2.350
126,2.356
127,2.363
128,2.370
129,2.385
130,2.411
131,2.427
132,2.432
133,2.438
134,2.444
135,2.460
136,2.486
137,2.504
138,2.531
139,2.548
140,2.575
141,2.591
142,2.618
143,2.635
144,2.670
145,2.698
146,2.744
147,2.773
148,2.813
149,2.822
150,2.830
151,2.854
152,2.893
153,2.921
154,2.988
155,3.033
156,3.060
157,3.104
158,3.121
159,3.148
160,3.166
161,3.193
162,3.209
163,3.235
164,3.251
165,3.276
166,3.293
167,3.322
168,3.340
169,3.366
170,3.372
171,3.388
172,3.415
173,3.421
174,3.438
175,3.466
176,3.483
177,3.510
178,3.519
179,3.532
180,3.559
181,3.577
182,3.605
183,3.624
184,3.657
185,3.675
186,3.707
187,3.724
188,3.753
189,3.770
190,3.805
191,3.811
192,3.828
193,3.857
194,3.862
195,3.878
196,3.905
197,3.912
198,3.928
199,3.954
200,3.972
201,3.998
202,4.016
203,4.059
204,4.086
205,4.129
206,4.154
207,4.194
208,4.202
209,4.226
210,4.268
211,4.278
212,4.308
213,4.369
214,4.411
215,4.422
216,4.433
217,4.444
218,4.450
219,4.456
220,4.461
221,4.478
222,4.518
223,4.554
224,4.592
225,4.629
226,4.669
227,4.711
228,4.752
229,4.782
230,4.789
231,4.815
232,4.858
233,4.866
234,4.874
235,4.882
236,4.890
237,4.898
238,4.906
239,4.914
240,4.922
241,4.930
242,4.938
243,4.956
244,4.987
245,5.005
246,5.039
247,5.058
248,5.089
249,5.108
250,5.141
251,5.160
252,5.191
253,5.208
254,5.240
255,5.258
256,5.290
257,5.310
258,5.340
259,5.362
260,5.411
261,5.443
262,5.485
263,5.494
264,5.522
265,5.562
266,5.573
267,5.582
268,5.611
269,5.660
270,5.671
271,5.700
272,5.741
273,5.750
274,5.782
275,5.823
276,5.829
277,5.836
278,5.855
279,5.886
280,5.892
281,5.911
282,5.944
283,5.961
284,5.989
285,5.994
286,6.012
287,6.041
288,6.047
289,6.063
290,6.091
291,6.108
292,6.137
293,6.143
294,6.160
295,6.188
296,6.194
297,6.212
298,6.243
299,6.250
300,6.273
301,6.310
302,6.317
303,6.324
304,6.346
305,6.381
306,6.390
307,6.408
308,6.440
309,6.446
310,6.453
311,6.459
312,6.465
313,6.486
314,6.523
315,6.540
316,6.568
317,6.585
318,6.615
319,6.621
320,6.639
321,6.670
322,6.689
323,6.720
324,6.727
325,6.753
326,6.797
327,6.808
328,6.858
329,6.893
330,6.923
331,6.970
332,6.997
333,7.038
334,7.047
335,7.071
336,7.108
337,7.136
338,7.177
339,7.183
340,7.201
341,7.230
342,7.250
343,7.283
344,7.290
345,7.311
346,7.343
347,7.350
348,7.371
349,7.407
350,7.428
351,7.466
352,7.484
353,7.515
354,7.521
355,7.540
356,7.571
357,7.577
358,7.584
359,7.602
360,7.629
361,7.635
362,7.641
363,7.647
364,7.655
365,7.662
366,7.668
367,7.685
368,7.724
369,7.763
370,7.804
371,7.843
372,7.882
373,7.911
374,7.917
375,7.937
376,7.969
377,7.975
378,7.993
379,8.024
380,8.039
381,8.067
382,8.085
383,8.128
384,8.157
385,8.200
386,8.209
387,8.235
388,8.275
389,8.284
390,8.293
391,8.325
392,8.374
393,8.383
394,8.407
395,8.447
396,8.455
397,8.485
398,8.529
399,8.536
400,8.542
401,8.560
402,8.592
403,8.599
404,8.605
405,8.624
406,8.662
407,8.669
408,8.687
409,8.715
410,8.735
411,8.768
412,8.775
413,8.791
414,8.819
415,8.836
416,8.862
417,8.869
418,8.885
419,8.912
420,8.918
