n,seconds
1,0.000
2,0.007
3,0.145
4,0.242
5,0.322
6,0.336
7,0.403
8,0.418
9,0.486
10,0.502
11,0.567
12,0.583
13,0.588
14,0.593
15,0.641
16,0.654
17,0.717
18,0.742
19,0.748
20,0.877
21,0.971
22,0.986
23,1.040
24,1.053
25,1.058
26,1.133
27,1.211
28,1.223
29,1.283
30,1.298
31,1.356
32,1.429
33,1.455
34,1.467
35,1.478
36,1.545
37,1.567
38,1.646
39,1.676
40,1.682
41,1.689
42,1.695
43,1.702
44,1.710
45,1.717
46,1.724
47,1.732
48,1.742
49,1.746
50,1.754
51,1.762
52,1.769
53,1.777
54,1.784
55,1.838
56,1.914
57,1.938
58,1.945
59,2.000
60,2.024
61,2.103
62,2.139
63,2.243
64,2.278
65,2.284
66,2.292
67,2.356
68,2.376
69,2.432
70,2.452
71,2.511
72,2.530
73,2.593
74,2.615
75,2.670
76,2.688
77,2.743
78,2.761
79,2.844
80,2.874
81,2.879
82,2.953
83,2.974
84,3.052
85,3.070
86,3.140
87,3.160
88,3.216
89,3.236
90,3.296
91,3.317
92,3.373
93,3.393
94,3.470
95,3.504
96,3.586
97,3.616
98,3.676
99,3.696
100,3.757
101,3.774
102,3.828
103,3.848
104,3.899
105,3.914
106,3.919
107,3.931
108,3.936
109,4.001
110,4.018
111,4.090
112,4.096
113,4.106
114,4.121
115,4.131
116,4.142
117,4.151
118,4.160
119,4.169
120,4.178
121,4.187
122,4.197
123,4.207
124,4.213
125,4.220
126,4.269
127,4.323
128,4.383
129,4.428
130,4.449
131,4.455
132,4.511
133,4.531
134,4.583
135,4.603
136,4.665
137,4.697
138,4.767
139,4.795
140,4.809
141,4.848
142,4.866
143,4.913
144,4.932
145,4.990
146,5.015
147,5.020
148,5.026
149,5.033
150,5.039
151,5.045
152,5.051
153,5.104
154,5.124
155,5.130
156,5.135
157,5.141
158,5.193
159,5.211
160,5.220
161,5.230
162,5.315
163,5.346
164,5.359
165,5.367
166,5.376
167,5.386
168,5.442
169,5.462
170,5.513
171,5.532
172,5.537
173,5.543
174,5.598
175,5.622
176,5.628
177,5.633
178,5.640
179,5.646
180,5.705
181,5.722
182,5.773
183,5.792
184,5.802
185,5.812
186,5.825
187,5.907
188,5.933
189,6.001
190,6.020
191,6.026
192,6.031
193,6.038
194,6.108
195,6.130
196,6.184
197,6.205
198,6.211
199,6.217
200,6.223
201,6.284
202,6.304
203,6.358
204,6.377
205,6.383
206,6.388
207,6.394
208,6.478
209,6.507
210,6.587
211,6.593
212,6.606
213,6.612
214,6.618
215,6.624
216,6.631
217,6.692
218,6.713
219,6.769
220,6.791
221,6.797
222,6.802
223,6.858
224,6.883
225,6.889
226,6.896
227,6.952
228,6.957
229,6.962
230,6.967
231,6.972
232,6.979
233,6.995
234,7.014
235,7.019
236,7.065
237,7.089
238,7.151
239,7.178
240,7.229
241,7.235
242,7.240
243,7.245
244,7.250
245,7.256
246,7.264
247,7.277
248,7.287
249,7.292
250,7.321
251,7.336
252,7.385
253,7.404
254,7.529
255,7.715
256,7.797
257,7.811
258,7.815
259,7.826
260,7.831
261,7.836
262,7.897
263,7.911
264,8.056
265,8.085
266,8.092
267,8.153
268,8.233
269,8.257
270,8.336
271,8.358
272,8.367
273,8.375
274,8.438
275,8.458
276,8.514
277,8.534
278,8.588
279,8.608
280,8.669
281,8.689
282,8.695
283,8.768
284,8.788
285,8.793
286,8.798
287,8.803
288,8.882
289,8.910
290,8.915
291,8.932
292,8.940
293,8.949
294,8.957
295,9.027
296,9.147
297,9.176
298,9.184
299,9.191
300,9.198
301,9.255
302,9.333
303,9.407
304,9.428
305,9.493
306,9.525
307,9.601
308,9.631
309,9.688
310,9.708
311,9.713
312,9.775
313,9.794
314,9.855
315,9.873
316,9.935
317,9.955
318,9.960
319,9.966
320,9.976
321,10.045
322,10.067
323,10.076
324,10.160
325,10.187
326,10.195
327,10.259
328,10.279
329,10.290
330,10.309
331,10.314
332,10.324
333,10.392
334,10.409
335,10.414
336,10.471
337,10.490
338,10.496
339,10.548
340,10.567
341,10.573
342,10.578
343,10.588
344,10.606
345,10.623
346,10.649
347,10.659
348,10.668
349,10.689
350,10.719
351,10.727
352,10.801
353,10.824
354,10.876
355,10.896
356,10.901
357,10.959
358,10.981
359,11.037
360,11.059
361,11.125
362,11.148
363,11.154
364,11.216
365,11.244
366,11.253
367,11.332
368,11.364
369,11.436
370,11.456
371,11.463
372,11.524
373,11.544
374,11.549
375,11.558
376,11.627
377,11.646
378,11.651
379,11.711
380,11.729
381,11.792
382,11.811
383,11.816
384,11.823
385,11.911
386,12.007
387,12.032
388,12.100
389,12.122
390,12.176
391,12.195
392,12.200
393,12.206
394,12.211
395,12.217
396,12.222
397,12.231
398,12.313
399,12.331
400,12.337
401,12.400
402,12.418
403,12.424
404,12.507
405,12.534
406,12.544
407,12.629
408,12.652
409,12.657
410,12.719
411,12.739
412,12.744
413,12.750
414,12.816
415,12.836
416,12.841
417,12.905
418,12.923
419,12.929
420,12.993
421,13.011
422,13.017
423,13.068
424,13.101
425,13.182
426,13.210
427,13.280
428,13.299
429,13.304
430,13.310
431,13.374
432,13.394
433,13.400
434,13.463
435,13.483
436,13.489
437,13.500
438,13.569
439,13.587
440,13.592
441,13.649
442,13.665
443,13.749
444,13.775
445,13.783
446,13.791
447,13.805
448,13.900
449,13.919
450,13.924
451,13.987
452,14.005
453,14.011
454,14.072
455,14.091
456,14.097
457,14.159
458,14.176
459,14.182
460,14.249
461,14.270
462,14.274
463,14.280
464,14.376
465,14.406
466,14.414
467,14.422
468,14.501
469,14.519
470,14.524
471,14.587
472,14.608
473,14.614
474,14.678
475,14.694
476,14.699
477,14.762
478,14.781
479,14.787
480,14.855
481,14.876
482,14.881
483,14.943
484,14.974
485,14.984
486,15.000
487,15.028
488,15.107
489,15.127
490,15.185
491,15.203
492,15.210
493,15.215
494,15.272
495,15.290
496,15.296
497,15.355
498,15.376
499,15.382
500,15.387
501,15.446
502,15.469
503,15.489
504,15.494
505,15.503
506,15.535
507,15.545
508,15.627
509,15.653
510,15.720
511,15.740
512,15.746
513,15.800
514,15.820
515,15.875
516,15.894
517,15.957
518,15.977
519,16.039
520,16.059
521,16.065
522,16.074
523,16.173
524,16.201
525,16.211
526,16.294
527,16.318
528,16.324
529,16.378
530,16.397
531,16.403
532,16.456
533,16.475
534,16.480
535,16.544
536,16.565
537,16.571
538,16.634
539,16.652
540,16.658
541,16.663
542,16.724
543,16.754
544,16.764
545,16.856
546,16.884
547,16.897
548,16.959
549,17.030
550,17.047
551,17.052
552,17.110
553,17.128
554,17.134
555,17.187
556,17.206
557,17.212
558,17.266
559,17.287
560,17.347
561,17.378
562,17.463
563,17.491
564,17.568
565,17.589
566,17.595
567,17.658
568,17.728
569,17.746
570,17.751
571,17.810
572,17.830
573,17.836
574,17.891
575,17.911
576,17.917
577,17.927
578,17.957
579,17.985
580,17.994
581,18.010
582,18.044
583,18.052
584,18.127
585,18.148
586,18.153
587,18.158
588,18.212
589,18.231
590,18.297
591,18.318
592,18.324
593,18.393
594,18.413
595,18.419
596,18.482
597,18.502
598,18.511
599,18.529
600,18.538
601,18.635
602,18.663
603,18.674
604,18.749
605,18.769
606,18.775
607,18.780
608,18.840
609,18.859
610,18.865
611,18.914
612,18.928
613,18.932
614,18.943
615,18.948
616,18.953
617,18.958
618,18.964
619,19.026
620,19.040
621,19.194
622,19.234
623,19.246
624,19.258
625,19.268
626,19.347
627,19.424
628,19.497
629,19.517
630,19.571
631,19.591
632,19.657
633,19.677
634,19.684
635,19.744
636,19.762
637,19.767
638,19.850
639,19.878
640,19.958
641,19.985
642,20.046
643,20.064
644,20.070
645,20.080
646,20.103
647,20.122
648,20.128
649,20.133
650,20.186
651,20.206
652,20.212
653,20.264
654,20.284
655,20.290
656,20.300
657,20.323
658,20.342
659,20.347
660,20.357
661,20.432
662,20.463
663,20.471
664,20.540
665,20.560
666,20.565
667,20.622
668,20.646
669,20.696
670,20.714
671,20.720
672,20.776
673,20.799
674,20.865
675,20.887
676,20.893
677,20.954
678,21.063
679,21.093
680,21.104
681,21.184
682,21.204
683,21.241
684,21.271
685,21.295
686,21.348
687,21.367
688,21.373
689,21.383
690,21.454
691,21.477
692,21.483
693,21.541
694,21.564
695,21.581
696,21.590
697,21.606
698,21.637
699,21.647
700,21.656
701,21.672
702,21.699
703,21.708
704,21.723
705,21.754
706,21.760
707,21.824
708,21.844
709,21.913
710,21.934
711,21.940
712,22.004
713,22.083
714,22.162
715,22.182
716,22.264
717,22.296
718,22.305
719,22.389
720,22.416
721,22.422
722,22.428
723,22.489
724,22.509
725,22.515
726,22.576
727,22.596
728,22.657
729,22.677
730,22.683
731,22.751
732,22.771
733,22.777
734,22.843
735,22.871
736,22.880
737,22.962
738,22.993
739,23.023
740,23.031
741,23.041
742,23.060
743,23.117
744,23.136
745,23.142
746,23.197
747,23.216
748,23.222
749,23.227
750,23.280
751,23.300
752,23.306
753,23.358
754,23.377
755,23.382
756,23.391
757,23.485
758,23.516
759,23.524
760,23.600
761,23.625
762,23.644
763,23.649
764,23.659
765,23.677
766,23.683
767,23.688
768,23.698
769,23.716
770,23.722
771,23.731
772,23.751
773,23.756
774,23.819
775,23.839
776,23.908
777,23.929
778,23.935
779,24.005
780,24.115
781,24.215
782,24.235
783,24.241
784,24.307
785,24.327
786,24.333
787,24.339
788,24.402
789,24.421
790,24.427
791,24.489
792,24.509
793,24.572
794,24.592
795,24.598
796,24.687
797,24.719
798,24.729
799,24.813
800,24.840
801,24.846
802,24.903
803,24.925
804,24.946
805,24.952
806,24.961
807,24.980
808,25.036
809,25.056
810,25.062
811,25.120
812,25.140
813,25.146
814,25.151
815,25.205
816,25.230
817,25.241
818,25.319
819,25.347
820,25.356
821,25.423
822,25.443
823,25.497
824,25.518
825,25.573
826,25.593
827,25.658
828,25.677
829,25.739
830,25.758
831,25.764
832,25.820
833,25.842
834,25.858
835,25.891
836,25.901
837,25.910
838,25.919
839,25.934
840,25.969
841,26.000
842,26.059
843,26.080
844,26.137
845,26.156
846,26.162
847,26.218
848,26.239
849,26.245
850,26.250
851,26.306
852,26.326
853,26.331
854,26.384
855,26.402
856,26.486
857,26.517
858,26.525
859,26.603
860,26.625
861,26.630
862,26.636
863,26.641
864,26.700
865,26.719
866,26.725
867,26.784
868,26.804
869,26.810
870,26.820
871,26.839
872,26.844
873,26.858
874,26.878
875,26.884
876,26.890
877,26.900
878,26.920
879,26.985
880,27.014
881,27.024
882,27.034
883,27.121
884,27.150
885,27.159
886,27.215
887,27.237
888,27.242
889,27.248
890,27.304
891,27.326
892,27.336
893,27.355
894,27.360
895,27.366
896,27.425
897,27.445
898,27.451
899,27.512
900,27.533
901,27.538
902,27.607
903,27.638
904,27.648
905,27.727
906,27.754
907,27.812
908,27.833
909,27.838
910,27.894
911,27.917
912,27.935
913,27.941
914,27.950
915,27.970
916,27.975
917,27.981
918,28.035
919,28.055
920,28.061
921,28.118
922,28.137
923,28.145
924,28.230
925,28.335
926,28.357
927,28.363
928,28.369
929,28.432
930,28.452
931,28.458
932,28.511
933,28.530
934,28.535
935,28.590
936,28.610
937,28.664
938,28.683
939,28.739
940,28.763
941,28.854
942,28.880
943,28.963
944,28.983
945,28.989
946,29.045
947,29.064
948,29.121
949,29.141
950,29.147
951,29.202
952,29.278
953,29.299
954,29.305
955,29.310
956,29.372
957,29.401
958,29.410
959,29.486
960,29.516
961,29.525
962,29.534
963,29.544
964,29.557
965,29.584
966,29.605
967,29.664
968,29.683
969,29.742
970,29.762
971,29.768
972,29.826
973,29.847
974,29.852
975,29.858
976,29.913
977,29.934
978,29.942
979,30.013
980,30.044
981,30.123
982,30.151
983,30.157
984,30.216
985,30.236
986,30.242
987,30.248
988,30.253
989,30.314
990,30.333
991,30.339
992,30.397
993,30.418
994,30.423
995,30.433
996,30.451
997,30.457
998,30.467
999,30.487
1000,30.493
1001,30.499
1002,30.508
1003,30.541
1004,30.632
1005,30.658
1006,30.668
1007,30.677
1008,30.753
1009,30.775
1010,30.781
1011,30.839
1012,30.862
1013,30.867
1014,30.873
1015,30.929
1016,30.950
1017,30.961
1018,30.983
1019,30.989
1020,30.995
1021,31.057
1022,31.079
1023,31.085
1024,31.156
1025,31.189
1026,31.199
1027,31.283
1028,31.316
1029,31.325
1030,31.387
1031,31.407
1032,31.468
1033,31.490
1034,31.496
1035,31.557
1036,31.582
1037,31.603
1038,31.609
1039,31.620
1040,31.641
1041,31.647
1042,31.653
1043,31.709
1044,31.730
1045,31.736
1046,31.814
1047,31.823
1048,31.833
1049,31.899
1050,31.928
1051,31.936
1052,31.942
1053,31.948
1054,32.001
1055,32.018
1056,32.024
1057,32.036
1058,32.042
1059,32.048
1060,32.100
1061,32.187
1062,32.209
1063,32.215
1064,32.221
1065,32.286
1066,32.369
1067,32.588
1068,32.668
1069,32.690
1070,32.744
1071,32.763
1072,32.769
1073,32.839
1074,32.861
1075,32.867
1076,32.942
1077,32.967
1078,32.974
1079,32.980
1080,32.987
1081,32.993
1082,33.054
1083,33.083
1084,33.167
1085,33.190
1086,33.196
1087,33.214
1088,33.223
1089,33.283
1090,33.355
1091,33.361
1092,33.367
1093,33.373
1094,33.379
1095,33.386
1096,33.391
1097,33.397
1098,33.403
1099,33.409
1100,33.415
1101,33.421
1102,33.427
1103,33.433
1104,33.439
1105,33.445
1106,33.452
1107,33.458
1108,33.512
1109,33.536
1110,33.558
1111,33.563
1112,33.622
1113,33.658
1114,33.665
1115,33.745
1116,33.773
1117,33.848
1118,33.872
1119,33.878
1120,33.930
1121,33.947
1122,34.004
1123,34.024
1124,34.078
1125,34.097
1126,34.105
1127,34.163
1128,34.185
1129,34.241
1130,34.267
1131,34.349
1132,34.381
1133,34.457
1134,34.479
1135,34.485
1136,34.490
1137,34.495
1138,34.501
1139,34.562
1140,34.582
1141,34.588
1142,34.641
1143,34.660
1144,34.713
1145,34.731
1146,34.788
1147,34.808
1148,34.867
1149,34.888
1150,34.976
1151,35.009
1152,35.090
1153,35.112
1154,35.167
1155,35.187
1156,35.247
1157,35.269
1158,35.275
1159,35.331
1160,35.353
1161,35.410
1162,35.430
1163,35.491
1164,35.524
1165,35.534
1166,35.620
1167,35.643
1168,35.718
1169,35.736
1170,35.795
1171,35.818
1172,35.876
1173,35.901
1174,35.964
1175,35.987
1176,36.045
1177,36.060
1178,36.065
1179,36.076
1180,36.081
1181,36.142
1182,36.238
1183,36.244
1184,36.253
1185,36.261
1186,36.270
1187,36.282
1188,36.292
1189,36.302
1190,36.308
1191,36.314
1192,36.320
1193,36.326
1194,36.331
1195,36.337
1196,36.343
1197,36.349
1198,36.354
1199,36.361
1200,36.411
1201,36.435
1202,36.453
1203,36.459
1204,36.518
1205,36.539
1206,36.599
1207,36.620
1208,36.675
1209,36.692
1210,36.696
1211,36.779
1212,36.818
1213,36.826
1214,36.905
1215,36.925
1216,36.985
1217,37.003
1218,37.009
1219,37.015
1220,37.073
1221,37.091
1222,37.150
1223,37.169
1224,37.230
1225,37.249
1226,37.311
1227,37.329
1228,37.412
1229,37.446
1230,37.518
1231,37.543
1232,37.600
1233,37.623
1234,37.676
1235,37.693
1236,37.747
1237,37.766
1238,37.823
1239,37.845
1240,37.900
1241,37.922
1242,37.980
1243,38.017
1244,38.095
1245,38.128
1246,38.199
1247,38.219
1248,38.281
1249,38.301
1250,38.359
1251,38.364
1252,38.369
1253,38.375
1254,38.381
1255,38.386
1256,38.392
1257,38.397
1258,38.410
1259,38.414
1260,38.420
1261,38.425
1262,38.433
1263,38.439
1264,38.445
1265,38.450
1266,38.463
1267,38.468
1268,38.473
1269,38.478
1270,38.484
1271,38.489
1272,38.494
1273,38.499
1274,38.512
1275,38.516
1276,38.521
1277,38.526
1278,38.533
1279,38.541
1280,38.551
1281,38.560
1282,38.578
1283,38.587
1284,38.597
1285,38.606
1286,38.617
1287,38.627
1288,38.633
1289,38.641
1290,38.657
1291,38.681
1292,38.694
1293,38.699
1294,38.756
1295,38.820
1296,38.835
1297,38.840
1298,38.851
1299,38.856
1300,38.913
1301,38.926
1302,39.124
1303,39.148
1304,39.155
1305,39.162
1306,39.232
1307,39.340
1308,39.375
1309,39.433
1310,39.455
1311,39.515
1312,39.537
1313,39.597
1314,39.602
1315,39.607
1316,39.613
1317,39.619
1318,39.627
1319,39.641
1320,39.652
1321,39.656
1322,39.688
1323,39.703
1324,39.957
1325,39.962
1326,39.971
1327,40.054
1328,40.071
1329,40.140
1330,40.154
1331,40.160
1332,40.220
1333,40.296
1334,40.365
1335,40.370
1336,40.377
1337,40.382
1338,40.388
1339,40.454
1340,40.460
1341,40.527
1342,40.532
1343,40.613
1344,40.619
1345,40.629
1346,40.639
1347,40.667
1348,40.692
1349,40.697
1350,40.715
1351,40.725
1352,40.730
1353,40.735
1354,40.804
1355,40.892
1356,40.916
1357,40.923
1358,40.929
1359,40.935
1360,40.941
1361,40.947
1362,40.953
1363,40.960
1364,40.966
1365,41.019
1366,41.106
1367,41.187
1368,41.214
1369,41.303
1370,41.330
1371,41.407
1372,41.428
1373,41.434
1374,41.503
1375,41.524
1376,41.593
1377,41.615
1378,41.690
1379,41.713
1380,41.780
1381,41.801
1382,41.807
1383,41.812
1384,41.817
1385,41.896
1386,41.924
1387,41.934
1388,41.951
1389,41.978
1390,42.063
1391,42.084
1392,42.090
1393,42.096
1394,42.160
1395,42.180
1396,42.185
1397,42.259
1398,42.281
1399,42.288
1400,42.295
1401,42.302
1402,42.371
1403,42.395
1404,42.401
1405,42.407
1406,42.465
1407,42.487
1408,42.497
1409,42.598
1410,42.626
1411,42.638
1412,42.647
1413,42.719
1414,42.740
1415,42.745
1416,42.805
1417,42.828
1418,42.834
1419,42.887
1420,42.906
1421,42.911
1422,42.976
1423,42.997
1424,43.062
1425,43.080
1426,43.151
1427,43.187
1428,43.197
1429,43.286
1430,43.295
1431,43.304
1432,43.312
1433,43.322
1434,43.382
1435,43.401
1436,43.407
1437,43.474
1438,43.495
1439,43.566
1440,43.589
1441,43.595
1442,43.600
1443,43.669
1444,43.675
1445,43.681
1446,43.686
1447,43.692
1448,43.697
1449,43.775
1450,43.802
1451,43.813
1452,43.824
1453,43.912
1454,43.938
1455,43.947
1456,43.956
1457,44.034
1458,44.056
1459,44.062
1460,44.068
1461,44.136
1462,44.142
1463,44.148
1464,44.154
1465,44.159
1466,44.215
1467,44.239
1468,44.246
1469,44.303
1470,44.327
1471,44.335
1472,44.399
1473,44.430
1474,44.442
1475,44.557
1476,44.600
1477,44.694
1478,44.716
1479,44.798
1480,44.827
1481,44.908
1482,44.933
1483,45.003
1484,45.020
1485,45.026
1486,45.039
1487,45.045
1488,45.051
1489,45.057
1490,45.063
1491,45.131
1492,45.494
1493,45.527
1494,45.536
1495,45.544
1496,45.622
1497,45.714
1498,45.804
1499,45.827
1500,45.889
1501,45.912
1502,45.918
1503,45.988
1504,46.029
1505,46.113
1506,46.139
1507,46.148
1508,46.223
1509,46.244
1510,46.299
1511,46.319
1512,46.378
1513,46.399
1514,46.464
1515,46.485
1516,46.491
1517,46.565
1518,46.587
1519,46.593
1520,46.598
1521,46.604
1522,46.673
1523,46.705
1524,46.715
1525,46.725
1526,46.734
1527,46.819
1528,46.850
1529,46.860
1530,46.866
1531,46.931
1532,46.955
1533,46.962
1534,46.970
1535,47.040
1536,47.061
1537,47.067
1538,47.072
1539,47.078
1540,47.150
1541,47.173
1542,47.179
1543,47.250
1544,47.270
1545,47.341
1546,47.373
1547,47.470
1548,47.499
1549,47.510
1550,47.518
1551,47.528
1552,47.594
1553,47.618
1554,47.624
1555,47.631
1556,47.637
1557,47.696
1558,47.716
1559,47.722
1560,47.795
1561,47.815
1562,47.822
1563,47.828
1564,47.899
1565,47.919
1566,47.924
1567,47.995
1568,48.030
1569,48.041
1570,48.123
1571,48.150
1572,48.223
1573,48.245
1574,48.306
1575,48.327
1576,48.385
1577,48.406
1578,48.483
1579,48.507
1580,48.583
1581,48.604
1582,48.610
1583,48.615
1584,48.692
1585,48.723
1586,48.733
1587,48.743
1588,48.820
1589,48.846
1590,48.852
1591,48.858
1592,48.916
1593,48.937
1594,48.943
1595,48.999
1596,49.019
1597,49.025
1598,49.084
1599,49.106
1600,49.163
1601,49.183
1602,49.244
1603,49.262
1604,49.275
1605,49.352
1606,49.448
1607,49.525
1608,49.541
1609,49.556
1610,49.561
1611,49.567
1612,49.630
1613,49.648
1614,49.709
1615,49.727
1616,49.788
1617,49.804
1618,49.867
1619,49.882
1620,49.955
1621,49.979
1622,49.988
1623,50.065
1624,50.071
1625,50.079
1626,50.087
1627,50.096
1628,50.104
1629,50.160
1630,50.178
1631,50.183
1632,50.234
1633,50.293
1634,50.368
1635,50.383
1636,50.445
1637,50.461
1638,50.518
1639,50.532
1640,50.607
1641,50.629
1642,50.644
1643,50.730
1644,50.745
1645,50.803
1646,50.818
1647,50.870
1648,50.888
1649,50.893
1650,50.900
1651,50.913
1652,50.968
1653,50.982
1654,51.038
1655,51.056
1656,51.062
1657,51.067
1658,51.072
1659,51.080
1660,51.096
1661,51.102
1662,51.108
1663,51.131
1664,51.141
1665,51.152
1666,51.166
1667,51.172
1668,51.183
1669,51.189
1670,51.203
1671,51.226
1672,51.235
1673,51.315
1674,51.332
1675,51.396
1676,51.414
1677,51.420
1678,51.425
1679,51.431
1680,51.495
1681,51.571
1682,51.589
1683,51.597
1684,51.653
1685,51.670
1686,51.675
1687,51.681
1688,51.686
1689,51.753
1690,51.782
1691,51.791
1692,51.875
1693,51.897
1694,51.905
1695,51.915
1696,51.923
1697,51.930
1698,52.003
1699,52.077
1700,52.094
1701,52.099
1702,52.163
1703,52.182
1704,52.244
