n,seconds
1,0.000
2,0.022
3,0.031
4,0.035
5,0.075
6,0.077
7,0.109
8,0.118
9,0.119
10,0.225
11,0.227
12,0.289
13,0.338
14,0.341
15,0.342
16,0.364
17,0.366
18,0.368
19,0.370
20,0.371
21,0.374
22,0.382
23,0.383
24,0.437
25,0.439
26,0.480
27,0.494
28,0.496
29,0.644
30,0.647
31,0.739
32,0.808
33,0.810
34,0.813
35,0.842
36,0.845
37,0.847
38,0.849
39,0.851
40,0.855
41,0.869
42,0.871
43,0.911
44,0.913
45,0.945
46,0.953
47,0.955
48,1.068
49,1.070
50,1.139
51,1.190
52,1.192
53,1.194
54,1.217
55,1.219
56,1.221
57,1.223
58,1.225
59,1.228
60,1.243
61,1.246
62,1.334
63,1.338
64,1.404
65,1.420
66,1.422
67,1.576
68,1.580
69,1.664
70,1.714
71,1.717
72,1.720
73,1.743
74,1.746
75,1.749
76,1.751
77,1.754
78,1.758
79,1.767
80,1.769
81,1.811
82,1.813
83,1.846
84,1.855
85,1.857
86,1.985
87,1.988
88,2.062
89,2.113
90,2.116
91,2.119
92,2.144
93,2.146
94,2.149
95,2.152
96,2.154
97,2.158
98,2.167
99,2.169
100,2.211
101,2.214
102,2.252
103,2.267
104,2.269
105,2.441
106,2.443
107,2.541
108,2.609
109,2.612
110,2.614
111,2.647
112,2.650
113,2.652
114,2.654
115,2.659
116,2.665
117,2.683
118,2.687
119,2.741
120,2.745
121,2.781
122,2.793
123,2.796
124,2.931
125,2.934
126,3.014
127,3.071
128,3.074
129,3.077
130,3.103
131,3.106
132,3.109
133,3.111
134,3.114
135,3.118
136,3.129
137,3.133
138,3.180
139,3.183
140,3.221
141,3.232
142,3.235
143,3.378
144,3.382
145,3.467
146,3.526
147,3.529
148,3.532
149,3.559
150,3.562
151,3.565
152,3.568
153,3.570
154,3.575
155,3.586
156,3.588
157,3.637
158,3.640
159,3.681
160,3.692
161,3.695
162,3.830
163,3.834
164,3.915
165,3.971
166,3.974
167,3.976
168,3.999
169,4.001
170,4.004
171,4.006
172,4.009
173,4.013
174,4.030
175,4.032
176,4.093
177,4.096
178,4.142
179,4.157
180,4.160
181,4.345
182,4.349
183,4.464
184,4.521
185,4.523
186,4.525
187,4.549
188,4.551
189,4.553
190,4.555
191,4.557
192,4.560
193,4.571
194,4.573
195,4.622
196,4.624
197,4.659
198,4.669
199,4.671
200,4.814
201,4.817
202,4.904
203,4.957
204,4.959
205,4.961
206,4.984
207,4.986
208,4.988
209,4.990
210,4.992
211,4.995
212,5.004
213,5.006
214,5.053
215,5.055
216,5.091
217,5.101
218,5.103
219,5.253
220,5.257
221,5.353
222,5.414
223,5.417
224,5.420
225,5.449
226,5.453
227,5.456
228,5.459
229,5.462
230,5.466
231,5.478
232,5.481
233,5.537
234,5.540
235,5.579
236,5.591
237,5.594
238,5.772
239,5.776
240,5.902
241,5.975
242,5.978
243,5.980
244,6.013
245,6.016
246,6.019
247,6.022
248,6.024
249,6.031
250,6.047
251,6.050
252,6.126
253,6.129
254,6.179
255,6.198
256,6.201
257,6.207
258,6.215
259,6.218
260,6.394
261,6.399
262,6.402
263,6.405
264,6.506
265,6.667
266,6.670
267,6.673
268,6.675
269,6.770
270,6.839
271,6.841
272,6.843
273,6.878
274,6.880
275,6.882
276,6.884
277,6.886
278,6.888
279,6.944
280,6.947
281,6.949
282,6.975
283,6.986
284,6.988
285,7.047
286,7.049
287,7.087
288,7.098
289,7.100
290,7.270
291,7.273
292,7.373
293,7.444
294,7.446
295,7.448
296,7.484
297,7.487
298,7.489
299,7.491
300,7.493
301,7.495
302,7.551
303,7.553
304,7.555
305,7.587
306,7.605
307,7.608
308,7.682
309,7.685
310,7.735
311,7.752
312,7.754
313,7.962
314,7.965
315,8.094
316,8.167
317,8.169
318,8.172
319,8.208
320,8.211
321,8.213
322,8.215
323,8.217
324,8.219
325,8.275
326,8.278
327,8.280
328,8.305
329,8.315
330,8.318
331,8.375
332,8.378
333,8.416
334,8.426
335,8.429
336,8.597
337,8.600
338,8.700
339,8.771
340,8.773
341,8.776
342,8.812
343,8.815
344,8.817
345,8.819
346,8.821
347,8.823
348,8.880
349,8.882
350,8.884
351,8.909
352,8.920
353,8.922
354,9.046
355,9.049
356,9.126
357,9.167
358,9.177
359,9.179
360,9.354
361,9.358
362,9.361
363,9.482
364,9.708
365,9.713
366,9.717
367,9.850
368,10.051
369,10.055
370,10.058
371,10.156
372,10.201
373,10.212
374,10.214
375,10.284
376,10.287
377,10.359
378,10.362
379,10.364
380,10.400
381,10.402
382,10.405
383,10.407
384,10.409
385,10.411
386,10.413
387,10.471
388,10.474
389,10.476
390,10.502
391,10.512
392,10.514
393,10.641
394,10.644
395,10.725
396,10.765
397,10.775
398,10.778
399,10.846
400,10.848
401,10.889
402,10.900
403,10.902
404,10.973
405,10.976
406,11.018
407,11.029
408,11.031
409,11.102
410,11.104
411,11.147
412,11.158
413,11.161
414,11.232
415,11.234
416,11.291
417,11.295
418,11.299
419,11.303
420,11.306
421,11.309
422,11.313
423,11.316
424,11.320
425,11.323
426,11.327
427,11.330
428,11.334
429,11.338
430,11.372
431,11.479
432,11.483
433,11.488
434,11.492
435,11.598
436,11.604
437,11.610
438,11.616
439,11.699
440,11.703
441,11.707
442,11.711
443,11.806
444,11.811
445,11.817
446,11.821
447,11.906
448,11.911
449,11.916
450,11.920
451,11.988
452,11.992
453,11.996
454,11.999
455,12.073
456,12.077
457,12.081
458,12.084
459,12.156
460,12.161
461,12.164
462,12.168
463,12.215
464,12.233
465,12.235
466,12.244
467,12.262
468,12.333
469,12.337
470,12.340
471,12.343
472,12.415
473,12.419
474,12.422
475,12.425
476,12.489
477,12.493
478,12.496
479,12.500
480,12.563
481,12.567
482,12.570
483,12.574
484,12.621
485,12.624
486,12.627
487,12.630
488,12.633
489,12.637
490,12.640
491,12.644
492,12.648
493,12.651
494,12.655
495,12.660
496,12.663
497,12.667
498,12.693
499,12.773
500,12.778
501,12.783
502,12.788
503,12.877
504,12.884
505,12.891
506,12.897
507,12.964
508,12.969
509,12.973
510,12.977
511,13.050
512,13.055
513,13.060
514,13.065
515,13.148
516,13.154
517,13.160
518,13.166
519,13.240
520,13.246
521,13.250
522,13.254
523,13.347
524,13.352
525,13.357
526,13.362
527,13.455
528,13.460
529,13.464
530,13.468
531,13.529
532,13.554
533,13.557
534,13.572
535,13.597
536,13.691
537,13.696
538,13.700
539,13.703
540,13.793
541,13.796
542,13.800
543,13.802
544,13.871
545,13.875
546,13.878
547,13.882
548,13.947
549,13.951
550,13.955
551,13.958
552,14.033
553,14.081
554,14.084
555,14.086
556,14.089
557,14.091
558,14.094
559,14.097
560,14.100
561,14.103
562,14.106
563,14.108
564,14.112
565,14.116
566,14.121
567,14.192
568,14.197
569,14.201
570,14.271
571,14.275
572,14.279
573,14.351
574,14.355
575,14.359
576,14.433
577,14.437
578,14.441
579,14.520
580,14.525
581,14.530
582,14.605
583,14.610
584,14.614
585,14.686
586,14.737
587,14.741
588,14.744
589,14.747
590,14.750
591,14.753
592,14.756
593,14.760
594,14.763
595,14.766
596,14.770
597,14.773
598,14.777
599,14.780
600,14.784
601,14.788
602,14.791
603,14.795
604,14.799
605,14.802
606,14.806
607,14.831
608,14.879
609,14.954
610,14.958
611,14.962
612,14.966
613,15.043
614,15.046
615,15.049
616,15.051
617,15.158
618,15.163
619,15.167
620,15.172
621,15.276
622,15.280
623,15.284
624,15.288
625,15.387
626,15.391
627,15.395
628,15.398
629,15.497
630,15.501
631,15.505
632,15.509
633,15.612
634,15.615
635,15.618
636,15.621
637,15.697
638,15.701
639,15.704
640,15.707
641,15.782
642,15.786
643,15.789
644,15.791
645,15.868
646,15.872
647,15.875
648,15.878
649,15.953
650,15.956
651,15.959
652,15.962
653,16.040
654,16.044
655,16.048
656,16.051
657,16.126
658,16.129
659,16.132
660,16.135
661,16.212
662,16.216
663,16.219
664,16.222
665,16.299
666,16.303
667,16.306
668,16.309
669,16.385
670,16.389
671,16.392
672,16.395
673,16.470
674,16.474
675,16.477
676,16.480
677,16.556
678,16.559
679,16.562
680,16.565
681,16.646
682,16.650
683,16.653
684,16.656
685,16.733
686,16.736
687,16.739
688,16.742
689,16.816
690,16.820
691,16.824
692,16.900
693,16.903
694,16.907
695,17.007
696,17.011
697,17.014
698,17.114
699,17.117
700,17.120
701,17.219
702,17.222
703,17.226
704,17.323
705,17.326
706,17.330
707,17.428
708,17.431
709,17.433
710,17.515
711,17.570
712,17.573
713,17.576
714,17.578
715,17.581
716,17.584
717,17.587
718,17.590
719,17.594
720,17.597
721,17.600
722,17.603
723,17.606
724,17.609
725,17.711
726,17.714
727,17.717
728,17.875
729,17.882
730,17.888
731,17.989
732,17.993
733,17.997
734,18.099
735,18.103
736,18.106
737,18.222
738,18.228
739,18.233
740,18.347
741,18.352
742,18.356
743,18.435
744,18.491
745,18.494
746,18.496
747,18.499
748,18.501
749,18.503
750,18.506
751,18.508
752,18.511
753,18.514
754,18.516
755,18.519
756,18.522
757,18.525
758,18.527
759,18.530
760,18.533
761,18.536
762,18.539
763,18.542
764,18.544
765,18.569
766,18.621
767,18.727
768,18.732
769,18.737
770,18.742
771,18.882
772,18.887
773,18.892
774,18.896
775,19.052
776,19.057
777,19.062
778,19.067
779,19.204
780,19.209
781,19.214
782,19.218
783,19.344
784,19.348
785,19.352
786,19.355
787,19.465
788,19.469
789,19.473
790,19.477
791,19.587
792,19.591
793,19.595
794,19.599
795,19.726
796,19.730
797,19.734
798,19.738
799,19.842
800,19.846
801,19.850
802,19.854
803,19.972
804,19.976
805,19.980
806,19.983
807,20.093
808,20.097
809,20.102
810,20.106
811,20.227
812,20.234
813,20.239
814,20.243
815,20.379
816,20.383
817,20.388
818,20.392
819,20.506
820,20.510
821,20.514
822,20.518
823,20.628
824,20.631
825,20.635
826,20.639
827,20.775
828,20.780
829,20.786
830,20.790
831,20.937
832,20.942
833,20.947
834,20.951
835,21.093
836,21.097
837,21.102
838,21.107
