kind,key,value
ladder,1,234
ladder_defn,1,193
ladder_frag_one_hop,1,143
ladder_frag_two_hop,1,71
ladder,2,399
ladder_defn,2,336
ladder,3,564
ladder_defn,3,479
ladder,4,729
ladder_defn,4,622
proofs,lemmas,40
proofs,lines,3239
proofs,obligations,2703
proofs,lemmas_citing,27
proofs,lemmas_opening,13
proofs,steps_depth4,406
proofs,steps_depth5,192
proofs,def_unfoldings,28
proofs,total_ctx_hyps,999558
proofs,max_ctx_hyps,422
proofs,defn_total,787555
proofs,frag_one_hop,386529
proofs,frag_two_hop,191913
proofs,cite_one_hop,95
proofs,cite_two_hop,83
proofs,stack_lines,264
proofs,trivial,1781
proofs,smt,619
proofs,zenon,303
ab,reps,3
main,gen_ms,828
main,prep_ms,79998
main,prove_ms,44410
main,peak_kb,1695444
main,obligations,2703
tip,gen_ms,254
tip,prep_ms,5422
tip,prove_ms,1428
tip,peak_kb,61104
tip,obligations,2703
ab,golden_identical,1
ab,golden_lines,82792
