boot,corpus,point,sha,run,ms,rc,proved,failed,trivial
1787475254,synth300,p00,4600b24c6d95a25ff081ad37b63b2a01c29d43a5,1,11505,0,1500,0,300
1787475254,synth300,p00,4600b24c6d95a25ff081ad37b63b2a01c29d43a5,2,9405,0,1500,0,300
1787475254,synth300,p00,4600b24c6d95a25ff081ad37b63b2a01c29d43a5,3,9479,0,1500,0,300
1787475254,synth300,p01,3baeb0b5adc6b21be4b86e79346192bfbcc6e043,1,9281,0,1500,0,300
1787475254,synth300,p01,3baeb0b5adc6b21be4b86e79346192bfbcc6e043,2,9868,0,1500,0,300
1787475254,synth300,p01,3baeb0b5adc6b21be4b86e79346192bfbcc6e043,3,9281,0,1500,0,300
1787475254,synth300,p02,aeffba0a4fb46ce3cb7ecf7ae04dcb3c50167779,1,9214,0,1500,0,300
1787475254,synth300,p02,aeffba0a4fb46ce3cb7ecf7ae04dcb3c50167779,2,9550,0,1500,0,300
1787475254,synth300,p02,aeffba0a4fb46ce3cb7ecf7ae04dcb3c50167779,3,9434,0,1500,0,300
1787475254,synth300,p03,ed084329d6eef03d287aad4da3c13c2568515c5e,1,9541,0,1500,0,300
1787475254,synth300,p03,ed084329d6eef03d287aad4da3c13c2568515c5e,2,9451,0,1500,0,300
1787475254,synth300,p03,ed084329d6eef03d287aad4da3c13c2568515c5e,3,9456,0,1500,0,300
1787475254,synth300,p04,64f03fce29369b2878614fb136c38ae2fac4265c,1,10237,0,1500,0,300
1787475254,synth300,p04,64f03fce29369b2878614fb136c38ae2fac4265c,2,9796,0,1500,0,300
1787475254,synth300,p04,64f03fce29369b2878614fb136c38ae2fac4265c,3,9547,0,1500,0,300
1787475254,synth300,p05,755f909ff5c263c3f49e9a6c04ad827c1c3874ba,1,9379,0,1500,0,300
1787475254,synth300,p05,755f909ff5c263c3f49e9a6c04ad827c1c3874ba,2,9325,0,1500,0,300
1787475254,synth300,p05,755f909ff5c263c3f49e9a6c04ad827c1c3874ba,3,9482,0,1500,0,300
1787475254,synth300,p06,52b0b62f7d829d39a41a275a01c6a2d579318400,1,6520,0,1500,0,300
1787475254,synth300,p06,52b0b62f7d829d39a41a275a01c6a2d579318400,2,6408,0,1500,0,300
1787475254,synth300,p06,52b0b62f7d829d39a41a275a01c6a2d579318400,3,6000,0,1500,0,300
1787475254,synth300,p07,c9424396bc7c2f40686e576ac99b23c77687cfee,1,4169,0,1500,0,300
1787475254,synth300,p07,c9424396bc7c2f40686e576ac99b23c77687cfee,2,4171,0,1500,0,300
1787475254,synth300,p07,c9424396bc7c2f40686e576ac99b23c77687cfee,3,4126,0,1500,0,300
1787475254,synth300,p08,502b1a9e8bc83755f8c566574e4c8c6d976b92ca,1,4047,0,1500,0,300
1787475254,synth300,p08,502b1a9e8bc83755f8c566574e4c8c6d976b92ca,2,4064,0,1500,0,300
1787475254,synth300,p08,502b1a9e8bc83755f8c566574e4c8c6d976b92ca,3,4045,0,1500,0,300
1787475254,synth300,p09,5f33dd3c2a7a2621d052210ccbf645ac6944016c,1,4061,0,1500,0,300
1787475254,synth300,p09,5f33dd3c2a7a2621d052210ccbf645ac6944016c,2,4100,0,1500,0,300
1787475254,synth300,p09,5f33dd3c2a7a2621d052210ccbf645ac6944016c,3,4196,0,1500,0,300
1787475254,synth300,p10,45c62cccf3dbf862c4c25a513b9685fdb3d4a82e,1,4147,0,1500,0,300
1787475254,synth300,p10,45c62cccf3dbf862c4c25a513b9685fdb3d4a82e,2,4282,0,1500,0,300
1787475254,synth300,p10,45c62cccf3dbf862c4c25a513b9685fdb3d4a82e,3,4202,0,1500,0,300
1787475254,synth300,p11,406e50d90eb704f98322f2a2ab6de211d988c676,1,4023,0,1500,0,300
1787475254,synth300,p11,406e50d90eb704f98322f2a2ab6de211d988c676,2,4047,0,1500,0,300
1787475254,synth300,p11,406e50d90eb704f98322f2a2ab6de211d988c676,3,4041,0,1500,0,300
1787475254,synth300,p12,26e4ff38647c6336f69f1df0772b495105d76abd,1,3012,0,1500,0,300
1787475254,synth300,p12,26e4ff38647c6336f69f1df0772b495105d76abd,2,3007,0,1500,0,300
1787475254,synth300,p12,26e4ff38647c6336f69f1df0772b495105d76abd,3,3059,0,1500,0,300
1787475254,synth300,p13,8b61c59b4c743657e1bd91c0e125957b319cd883,1,3157,0,1500,0,300
1787475254,synth300,p13,8b61c59b4c743657e1bd91c0e125957b319cd883,2,2967,0,1500,0,300
1787475254,synth300,p13,8b61c59b4c743657e1bd91c0e125957b319cd883,3,2974,0,1500,0,300
1787475254,synth300,p14,48fcd12614e2f22820dc3eabc8bfe4f3407763af,1,2956,0,1500,0,300
1787475254,synth300,p14,48fcd12614e2f22820dc3eabc8bfe4f3407763af,2,2922,0,1500,0,300
1787475254,synth300,p14,48fcd12614e2f22820dc3eabc8bfe4f3407763af,3,2922,0,1500,0,300
1787475254,synth300,p15,4c9bca9e34d78ef186f4d184b32da3fcba19fae0,1,2911,0,1500,0,300
1787475254,synth300,p15,4c9bca9e34d78ef186f4d184b32da3fcba19fae0,2,2896,0,1500,0,300
1787475254,synth300,p15,4c9bca9e34d78ef186f4d184b32da3fcba19fae0,3,2906,0,1500,0,300
1787475254,synth300,p16,7c9ae2029e18909a97773cd7693f2e4b48a8d0eb,1,2933,0,1500,0,300
1787475254,synth300,p16,7c9ae2029e18909a97773cd7693f2e4b48a8d0eb,2,2956,0,1500,0,300
1787475254,synth300,p16,7c9ae2029e18909a97773cd7693f2e4b48a8d0eb,3,2922,0,1500,0,300
1787475254,synth300,p17,067bdbc08d585077e2a1f0907ee0a1e84a90e795,1,2915,0,1500,0,300
1787475254,synth300,p17,067bdbc08d585077e2a1f0907ee0a1e84a90e795,2,2949,0,1500,0,300
1787475254,synth300,p17,067bdbc08d585077e2a1f0907ee0a1e84a90e795,3,3000,0,1500,0,300
1787475254,chain,p00,4600b24c6d95a25ff081ad37b63b2a01c29d43a5,1,900412,124,510,0,1459
1787475254,chain,p01,3baeb0b5adc6b21be4b86e79346192bfbcc6e043,1,900111,124,507,0,1447
1787401384,synth300,p00,4600b24c6d95a25ff081ad37b63b2a01c29d43a5,1,9858,0,1500,0,300
1787401384,synth300,p00,4600b24c6d95a25ff081ad37b63b2a01c29d43a5,2,10028,0,1500,0,300
1787401384,synth300,p00,4600b24c6d95a25ff081ad37b63b2a01c29d43a5,3,9794,0,1500,0,300
1787401384,synth300,p01,3baeb0b5adc6b21be4b86e79346192bfbcc6e043,1,9723,0,1500,0,300
1787401384,synth300,p01,3baeb0b5adc6b21be4b86e79346192bfbcc6e043,2,9823,0,1500,0,300
1787401384,synth300,p01,3baeb0b5adc6b21be4b86e79346192bfbcc6e043,3,9705,0,1500,0,300
1787401384,synth300,p02,aeffba0a4fb46ce3cb7ecf7ae04dcb3c50167779,1,9830,0,1500,0,300
1787401384,synth300,p02,aeffba0a4fb46ce3cb7ecf7ae04dcb3c50167779,2,9775,0,1500,0,300
1787401384,synth300,p02,aeffba0a4fb46ce3cb7ecf7ae04dcb3c50167779,3,9731,0,1500,0,300
1787401384,synth300,p03,ed084329d6eef03d287aad4da3c13c2568515c5e,1,9728,0,1500,0,300
1787401384,synth300,p03,ed084329d6eef03d287aad4da3c13c2568515c5e,2,10162,0,1500,0,300
1787401384,synth300,p03,ed084329d6eef03d287aad4da3c13c2568515c5e,3,9836,0,1500,0,300
1787401384,synth300,p04,64f03fce29369b2878614fb136c38ae2fac4265c,1,9965,0,1500,0,300
1787401384,synth300,p04,64f03fce29369b2878614fb136c38ae2fac4265c,2,9896,0,1500,0,300
1787401384,synth300,p04,64f03fce29369b2878614fb136c38ae2fac4265c,3,9769,0,1500,0,300
1787401384,synth300,p05,755f909ff5c263c3f49e9a6c04ad827c1c3874ba,1,9702,0,1500,0,300
1787401384,synth300,p05,755f909ff5c263c3f49e9a6c04ad827c1c3874ba,2,10182,0,1500,0,300
1787401384,synth300,p05,755f909ff5c263c3f49e9a6c04ad827c1c3874ba,3,10069,0,1500,0,300
1787401384,synth300,p06,52b0b62f7d829d39a41a275a01c6a2d579318400,1,6215,0,1500,0,300
1787401384,synth300,p06,52b0b62f7d829d39a41a275a01c6a2d579318400,2,6259,0,1500,0,300
1787401384,synth300,p06,52b0b62f7d829d39a41a275a01c6a2d579318400,3,6484,0,1500,0,300
1787401384,synth300,p07,c9424396bc7c2f40686e576ac99b23c77687cfee,1,4427,0,1500,0,300
1787401384,synth300,p07,c9424396bc7c2f40686e576ac99b23c77687cfee,2,4314,0,1500,0,300
1787401384,synth300,p07,c9424396bc7c2f40686e576ac99b23c77687cfee,3,4351,0,1500,0,300
1787401384,synth300,p08,502b1a9e8bc83755f8c566574e4c8c6d976b92ca,1,4241,0,1500,0,300
